Name;Gewicht ;Datum;Supermarkt;Verpackung;Kisten;Erzeuger;GGN;GLN;Haendler
Radieschen;513,76;28.05.2018;Edeka;Bund;15;NA;NA;NA;Fruvital GmbH
Radieschen;507,57;28.05.2018;Edeka;Bund;15;NA;NA;NA;Fruvital GmbH
Radieschen;444,35;28.05.2018;Edeka;Bund;15;NA;NA;NA;Fruvital GmbH
Radieschen;457,73;28.05.2018;Edeka;Bund;15;NA;NA;NA;Fruvital GmbH
Radieschen;519,37;28.05.2018;Edeka;Bund;15;NA;NA;NA;Fruvital GmbH
Radieschen;461,59;28.05.2018;Netto rot;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;414,55;28.05.2018;Netto rot;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;450,63;28.05.2018;Netto rot;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;451,57;28.05.2018;Netto rot;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;429,98;28.05.2018;Netto rot;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;376,72;28.05.2018;Netto rot;Bund;15;NA;NA;4,25E+12;Boerdegarten Gemueuese
Radieschen;361,85;28.05.2018;Penny;Bund;NA;NA;NA;NA;NA
Radieschen;359,01;28.05.2018;Penny;Bund;NA;NA;NA;NA;NA
Radieschen;372,41;28.05.2018;Penny;Bund;NA;NA;NA;NA;NA
Radieschen;394,48;28.05.2018;Penny;Bund;NA;NA;NA;NA;NA
Radieschen;365,97;28.05.2018;Penny;Bund;NA;NA;NA;NA;NA
Radieschen;389,43;28.05.2018;Netto schwarz;Bund;8;NA;NA;4,25E+12;BoerdeLand Obst und Gemueuese
Radieschen;356,82;28.05.2018;Netto schwarz;Bund;8;NA;NA;4,25E+12;BoerdeLand Obst und Gemueuese
Radieschen;360,17;28.05.2018;Netto schwarz;Bund;8;NA;NA;4,25E+12;BoerdeLand Obst und Gemueuese
Radieschen;338,3;28.05.2018;Netto schwarz;Bund;8;NA;NA;4,25E+12;BoerdeLand Obst und Gemueuese
Radieschen;361,33;28.05.2018;Netto schwarz;Bund;8;NA;NA;4,25E+12;BoerdeLand Obst und Gemueuese
Radieschen;445,48;05.06.2018;Lidl;Bund;15;Sahler GdbR;4,05E+12;NA;Pfalzmarkt eG
Radieschen;419,32;05.06.2018;Lidl;Bund;15;Sahler GdbR;4,05E+12;NA;Pfalzmarkt eG
Radieschen;420,11;05.06.2018;Lidl;Bund;15;Sahler GdbR;4,05E+12;NA;Pfalzmarkt eG
Radieschen;430,01;05.06.2018;Lidl;Bund;15;Sahler GdbR;4,05E+12;NA;Pfalzmarkt eG
Radieschen;471,55;05.06.2018;Lidl;Bund;15;Sahler GdbR;4,05E+12;NA;Pfalzmarkt eG
Lauchzwiebeln;147,67;28.05.2018;Penny;Bund;10;NA;4,05E+12;NA;Boerdegarten Gemueuese
Lauchzwiebeln;182,76;28.05.2018;Penny;Bund;10;NA;4,05E+12;NA;Boerdegarten Gemueuese
Lauchzwiebeln;170,76;28.05.2018;Penny;Bund;10;NA;4,05E+12;NA;Boerdegarten Gemueuese
